Start time UTC,End time UTC,Wind Turbine (MWh/h)
2023/1/9 20:00,2023/1/9 21:00,2653
2023/1/9 21:00,2023/1/9 22:00,2409
2023/1/9 22:00,2023/1/9 23:00,2379
2023/1/9 23:00,2023/1/10 0:00,2332
2023/1/10 0:00,2023/1/10 1:00,2184
2023/1/10 1:00,2023/1/10 2:00,2149
2023/1/10 2:00,2023/1/10 3:00,1971
2023/1/10 3:00,2023/1/10 4:00,1905
2023/1/10 4:00,2023/1/10 5:00,1793
2023/1/10 5:00,2023/1/10 6:00,1747
2023/1/10 6:00,2023/1/10 7:00,1647
2023/1/10 7:00,2023/1/10 8:00,1612
2023/1/10 8:00,2023/1/10 9:00,1661
2023/1/10 9:00,2023/1/10 10:00,1748
2023/1/10 10:00,2023/1/10 11:00,1753
2023/1/10 11:00,2023/1/10 12:00,1696
2023/1/10 12:00,2023/1/10 13:00,1732
2023/1/10 13:00,2023/1/10 14:00,1744
2023/1/10 14:00,2023/1/10 15:00,1832
2023/1/10 15:00,2023/1/10 16:00,1812
2023/1/10 16:00,2023/1/10 17:00,1819
2023/1/10 17:00,2023/1/10 18:00,1743
2023/1/10 18:00,2023/1/10 19:00,1665
2023/1/10 19:00,2023/1/10 20:00,1640
2023/1/10 20:00,2023/1/10 21:00,1691
2023/1/10 21:00,2023/1/10 22:00,1744
2023/1/10 22:00,2023/1/10 23:00,1766
2023/1/10 23:00,2023/1/11 0:00,1531
2023/1/11 0:00,2023/1/11 1:00,1501
2023/1/11 1:00,2023/1/11 2:00,1622
2023/1/11 2:00,2023/1/11 3:00,1559
2023/1/11 3:00,2023/1/11 4:00,1842
2023/1/11 4:00,2023/1/11 5:00,2000
2023/1/11 5:00,2023/1/11 6:00,2214
2023/1/11 6:00,2023/1/11 7:00,2525
2023/1/11 7:00,2023/1/11 8:00,2770
2023/1/11 8:00,2023/1/11 9:00,3056
2023/1/11 9:00,2023/1/11 10:00,3299
2023/1/11 10:00,2023/1/11 11:00,3486
2023/1/11 11:00,2023/1/11 12:00,3649
2023/1/11 12:00,2023/1/11 13:00,3831
2023/1/11 13:00,2023/1/11 14:00,4028
2023/1/11 14:00,2023/1/11 15:00,4181
2023/1/11 15:00,2023/1/11 16:00,4321
2023/1/11 16:00,2023/1/11 17:00,4386
2023/1/11 17:00,2023/1/11 18:00,4428
2023/1/11 18:00,2023/1/11 19:00,4429
2023/1/11 19:00,2023/1/11 20:00,4425
2023/1/11 20:00,2023/1/11 21:00,4331
2023/1/11 21:00,2023/1/11 22:00,4308
2023/1/11 22:00,2023/1/11 23:00,4291
2023/1/11 23:00,2023/1/12 0:00,4268
2023/1/12 0:00,2023/1/12 1:00,4125
2023/1/12 1:00,2023/1/12 2:00,3965
2023/1/12 2:00,2023/1/12 3:00,3934
2023/1/12 3:00,2023/1/12 4:00,3930
2023/1/12 4:00,2023/1/12 5:00,4102
2023/1/12 5:00,2023/1/12 6:00,4167
2023/1/12 6:00,2023/1/12 7:00,4173
2023/1/12 7:00,2023/1/12 8:00,4101
2023/1/12 8:00,2023/1/12 9:00,4043
2023/1/12 9:00,2023/1/12 10:00,3980
2023/1/12 10:00,2023/1/12 11:00,3949
2023/1/12 11:00,2023/1/12 12:00,3936
2023/1/12 12:00,2023/1/12 13:00,3969
2023/1/12 13:00,2023/1/12 14:00,4028
2023/1/12 14:00,2023/1/12 15:00,4082
2023/1/12 15:00,2023/1/12 16:00,4151
2023/1/12 16:00,2023/1/12 17:00,4007
2023/1/12 17:00,2023/1/12 18:00,3900
2023/1/12 18:00,2023/1/12 19:00,3718
2023/1/12 19:00,2023/1/12 20:00,3588
2023/1/12 20:00,2023/1/12 21:00,3418
2023/1/12 21:00,2023/1/12 22:00,3367
2023/1/12 22:00,2023/1/12 23:00,3356
2023/1/12 23:00,2023/1/13 0:00,3312
2023/1/13 0:00,2023/1/13 1:00,3213
2023/1/13 1:00,2023/1/13 2:00,3028
2023/1/13 2:00,2023/1/13 3:00,2913
2023/1/13 3:00,2023/1/13 4:00,2907
2023/1/13 4:00,2023/1/13 5:00,3000
2023/1/13 5:00,2023/1/13 6:00,3018
2023/1/13 6:00,2023/1/13 7:00,3013
2023/1/13 7:00,2023/1/13 8:00,2959
2023/1/13 8:00,2023/1/13 9:00,2971
2023/1/13 9:00,2023/1/13 10:00,2750
2023/1/13 10:00,2023/1/13 11:00,2656
2023/1/13 11:00,2023/1/13 12:00,2590
2023/1/13 12:00,2023/1/13 13:00,2443
2023/1/13 13:00,2023/1/13 14:00,2399
