Start time UTC,End time UTC,Solar Panel (MWh/h)
2023/1/13 0:00,2023/1/13 1:00,0
2023/1/13 1:00,2023/1/13 2:00,0
2023/1/13 2:00,2023/1/13 3:00,0
2023/1/13 3:00,2023/1/13 4:00,0
2023/1/13 4:00,2023/1/13 5:00,0
2023/1/13 5:00,2023/1/13 6:00,0
2023/1/13 6:00,2023/1/13 7:00,0
2023/1/13 7:00,2023/1/13 8:00,0
2023/1/13 8:00,2023/1/13 9:00,2.8
2023/1/13 9:00,2023/1/13 10:00,11
2023/1/13 10:00,2023/1/13 11:00,14.6
2023/1/13 11:00,2023/1/13 12:00,11.7
2023/1/13 12:00,2023/1/13 13:00,0.2
2023/1/13 13:00,2023/1/13 14:00,0
2023/1/13 14:00,2023/1/13 15:00,0
2023/1/13 15:00,2023/1/13 16:00,0
2023/1/13 16:00,2023/1/13 17:00,0
2023/1/13 17:00,2023/1/13 18:00,0
2023/1/13 18:00,2023/1/13 19:00,0
2023/1/13 19:00,2023/1/13 20:00,0
2023/1/13 20:00,2023/1/13 21:00,0
2023/1/13 21:00,2023/1/13 22:00,0
2023/1/13 22:00,2023/1/13 23:00,0
2023/1/13 23:00,2023/1/14 0:00,0
2023/1/14 0:00,2023/1/14 1:00,0
2023/1/14 1:00,2023/1/14 2:00,0
2023/1/14 2:00,2023/1/14 3:00,0
2023/1/14 3:00,2023/1/14 4:00,0
2023/1/14 4:00,2023/1/14 5:00,0
2023/1/14 5:00,2023/1/14 6:00,0
2023/1/14 6:00,2023/1/14 7:00,0
2023/1/14 7:00,2023/1/14 8:00,0
2023/1/14 8:00,2023/1/14 9:00,0.2
2023/1/14 9:00,2023/1/14 10:00,11.9
2023/1/14 10:00,2023/1/14 11:00,14.5
2023/1/14 11:00,2023/1/14 12:00,8.3
2023/1/14 12:00,2023/1/14 13:00,0
2023/1/14 13:00,2023/1/14 14:00,0
2023/1/14 14:00,2023/1/14 15:00,0
2023/1/14 15:00,2023/1/14 16:00,0
2023/1/14 16:00,2023/1/14 17:00,0
2023/1/14 17:00,2023/1/14 18:00,0
2023/1/14 18:00,2023/1/14 19:00,0
2023/1/14 19:00,2023/1/14 20:00,0
2023/1/14 20:00,2023/1/14 21:00,0
2023/1/14 21:00,2023/1/14 22:00,0
2023/1/14 22:00,2023/1/14 23:00,0
2023/1/14 23:00,2023/1/15 0:00,0
2023/1/15 0:00,2023/1/15 1:00,0
2023/1/15 1:00,2023/1/15 2:00,0
2023/1/15 2:00,2023/1/15 3:00,0
2023/1/15 3:00,2023/1/15 4:00,0
2023/1/15 4:00,2023/1/15 5:00,0
2023/1/15 5:00,2023/1/15 6:00,0
2023/1/15 6:00,2023/1/15 7:00,0
2023/1/15 7:00,2023/1/15 8:00,0
2023/1/15 8:00,2023/1/15 9:00,0
2023/1/15 9:00,2023/1/15 10:00,12.2
2023/1/15 10:00,2023/1/15 11:00,17.6
2023/1/15 11:00,2023/1/15 12:00,8.3
2023/1/15 12:00,2023/1/15 13:00,2.7
2023/1/15 13:00,2023/1/15 14:00,0
2023/1/15 14:00,2023/1/15 15:00,0
2023/1/15 15:00,2023/1/15 16:00,0
2023/1/15 16:00,2023/1/15 17:00,0
2023/1/15 17:00,2023/1/15 18:00,0
2023/1/15 18:00,2023/1/15 19:00,0
2023/1/15 19:00,2023/1/15 20:00,0
2023/1/15 20:00,2023/1/15 21:00,0
2023/1/15 21:00,2023/1/15 22:00,0
2023/1/15 22:00,2023/1/15 23:00,0
2023/1/15 23:00,2023/1/16 0:00,0
2023/1/16 0:00,2023/1/16 1:00,0
2023/1/16 1:00,2023/1/16 2:00,0
2023/1/16 2:00,2023/1/16 3:00,0
2023/1/16 3:00,2023/1/16 4:00,0
2023/1/16 4:00,2023/1/16 5:00,0
2023/1/16 5:00,2023/1/16 6:00,0
2023/1/16 6:00,2023/1/16 7:00,0
2023/1/16 7:00,2023/1/16 8:00,0
2023/1/16 8:00,2023/1/16 9:00,3.1
2023/1/16 9:00,2023/1/16 10:00,13.1
2023/1/16 10:00,2023/1/16 11:00,18.1
2023/1/16 11:00,2023/1/16 12:00,11.6
2023/1/16 12:00,2023/1/16 13:00,10
2023/1/16 13:00,2023/1/16 14:00,0
2023/1/16 14:00,2023/1/16 15:00,0
2023/1/16 15:00,2023/1/16 16:00,0
2023/1/16 16:00,2023/1/16 17:00,0
2023/1/16 17:00,2023/1/16 18:00,0
2023/1/16 18:00,2023/1/16 19:00,0
2023/1/16 19:00,2023/1/16 20:00,0
2023/1/16 20:00,2023/1/16 21:00,0
2023/1/16 21:00,2023/1/16 22:00,0
2023/1/16 22:00,2023/1/16 23:00,0
2023/1/16 23:00,2023/1/17 0:00,0
2023/1/17 0:00,2023/1/17 1:00,0
2023/1/17 1:00,2023/1/17 2:00,0
2023/1/17 2:00,2023/1/17 3:00,0
2023/1/17 3:00,2023/1/17 4:00,0
2023/1/17 4:00,2023/1/17 5:00,0
2023/1/17 5:00,2023/1/17 6:00,0
2023/1/17 6:00,2023/1/17 7:00,0
2023/1/17 7:00,2023/1/17 8:00,0
2023/1/17 8:00,2023/1/17 9:00,3
2023/1/17 9:00,2023/1/17 10:00,14.1
2023/1/17 10:00,2023/1/17 11:00,19.3
2023/1/17 11:00,2023/1/17 12:00,17.9
2023/1/17 12:00,2023/1/17 13:00,5
2023/1/17 13:00,2023/1/17 14:00,0
2023/1/17 14:00,2023/1/17 15:00,0
2023/1/17 15:00,2023/1/17 16:00,0
2023/1/17 16:00,2023/1/17 17:00,0
2023/1/17 17:00,2023/1/17 18:00,0
2023/1/17 18:00,2023/1/17 19:00,0
2023/1/17 19:00,2023/1/17 20:00,0
2023/1/17 20:00,2023/1/17 21:00,0
2023/1/17 21:00,2023/1/17 22:00,0
2023/1/17 22:00,2023/1/17 23:00,0
2023/1/17 23:00,2023/1/18 0:00,0
2023/1/18 0:00,2023/1/18 1:00,0
2023/1/18 1:00,2023/1/18 2:00,0
2023/1/18 2:00,2023/1/18 3:00,0
2023/1/18 3:00,2023/1/18 4:00,0
2023/1/18 4:00,2023/1/18 5:00,0
2023/1/18 5:00,2023/1/18 6:00,0
2023/1/18 6:00,2023/1/18 7:00,0
2023/1/18 7:00,2023/1/18 8:00,0
2023/1/18 8:00,2023/1/18 9:00,3.2
2023/1/18 9:00,2023/1/18 10:00,21.3
2023/1/18 10:00,2023/1/18 11:00,28.9
2023/1/18 11:00,2023/1/18 12:00,24.7
2023/1/18 12:00,2023/1/18 13:00,13.7
2023/1/18 13:00,2023/1/18 14:00,0
2023/1/18 14:00,2023/1/18 15:00,0
2023/1/18 15:00,2023/1/18 16:00,0
2023/1/18 16:00,2023/1/18 17:00,0
2023/1/18 17:00,2023/1/18 18:00,0
2023/1/18 18:00,2023/1/18 19:00,0
2023/1/18 19:00,2023/1/18 20:00,0
2023/1/18 20:00,2023/1/18 21:00,0
2023/1/18 21:00,2023/1/18 22:00,0
2023/1/18 22:00,2023/1/18 23:00,0
2023/1/18 23:00,2023/1/19 0:00,0
2023/1/19 0:00,2023/1/19 1:00,0
2023/1/19 1:00,2023/1/19 2:00,0
2023/1/19 2:00,2023/1/19 3:00,0
2023/1/19 3:00,2023/1/19 4:00,0
2023/1/19 4:00,2023/1/19 5:00,0
2023/1/19 5:00,2023/1/19 6:00,0
2023/1/19 6:00,2023/1/19 7:00,0
2023/1/19 7:00,2023/1/19 8:00,0
2023/1/19 8:00,2023/1/19 9:00,1.7
2023/1/19 9:00,2023/1/19 10:00,18.7
2023/1/19 10:00,2023/1/19 11:00,23.8
2023/1/19 11:00,2023/1/19 12:00,15.6
2023/1/19 12:00,2023/1/19 13:00,8.2
2023/1/19 13:00,2023/1/19 14:00,0
2023/1/19 14:00,2023/1/19 15:00,0
2023/1/19 15:00,2023/1/19 16:00,0
2023/1/19 16:00,2023/1/19 17:00,0
2023/1/19 17:00,2023/1/19 18:00,0
2023/1/19 18:00,2023/1/19 19:00,0
2023/1/19 19:00,2023/1/19 20:00,0
2023/1/19 20:00,2023/1/19 21:00,0
2023/1/19 21:00,2023/1/19 22:00,0
2023/1/19 22:00,2023/1/19 23:00,0
2023/1/19 23:00,2023/1/20 0:00,0
2023/1/20 0:00,2023/1/20 1:00,0
2023/1/20 1:00,2023/1/20 2:00,0
2023/1/20 2:00,2023/1/20 3:00,0
2023/1/20 3:00,2023/1/20 4:00,0
2023/1/20 4:00,2023/1/20 5:00,0
2023/1/20 5:00,2023/1/20 6:00,0
2023/1/20 6:00,2023/1/20 7:00,0
2023/1/20 7:00,2023/1/20 8:00,0
2023/1/20 8:00,2023/1/20 9:00,11.1
2023/1/20 9:00,2023/1/20 10:00,23
2023/1/20 10:00,2023/1/20 11:00,30.4
2023/1/20 11:00,2023/1/20 12:00,29.4
2023/1/20 12:00,2023/1/20 13:00,19.8
2023/1/20 13:00,2023/1/20 14:00,0
2023/1/20 14:00,2023/1/20 15:00,0
2023/1/20 15:00,2023/1/20 16:00,0
2023/1/20 16:00,2023/1/20 17:00,0
2023/1/20 17:00,2023/1/20 18:00,0
2023/1/20 18:00,2023/1/20 19:00,0
2023/1/20 19:00,2023/1/20 20:00,0
2023/1/20 20:00,2023/1/20 21:00,0
2023/1/20 21:00,2023/1/20 22:00,0
2023/1/20 22:00,2023/1/20 23:00,0
2023/1/20 23:00,2023/1/21 0:00,0
